Country,State,Date,Confirmed_Cases,Recovered_Cases,Deaths,Active_Cases,Tests_Conducted,Hospitalized,Vaccination_Status
Italy,State_C,44101,3756,49708,1660,19873,77229,19203,Yes
Brazil,State_C,44102,20609,74553,2631,40372,105648,9094,Yes
USA,State_D,44103,16478,68344,4815,23928,39547,364,
India,State_A,44104,39666,49138,1072,15379,29795,19503,
Brazil,State_B,44105,75683,54302,3225,51786,187368,15688,No
Brazil,State_C,44106,99097,47638,4954,36751,22447,1863,No
India,State_A,44107,71315,78249,1316,34546,168670,16499,Yes
USA,State_A,44108,77834,2719,4145,24286,436030,7084,
India,State_B,44109,14153,22890,3683,5110,222823,8016,No
Spain,State_C,44110,76325,77236,3273,54341,257190,2384,
Brazil,State_C,44111,12999,36509,145,12087,207402,15072,
UK,State_A,44112,55318,42534,3040,23762,253419,3935,Yes
UK,State_A,44113,814,18787,1462,50276,230817,13127,Yes
Italy,State_B,44114,76077,48845,4676,17081,351104,14482,
India,State_B,44115,90474,57932,1584,34947,326422,7742,
India,State_C,44116,2443,33062,482,9596,56077,16165,
Italy,State_D,44117,75993,75713,3179,38019,113782,2490,
Italy,State_C,44118,75916,60461,1249,42003,103932,13324,Yes
Italy,State_A,44119,73319,75418,4768,18313,466122,18108,No
Brazil,State_C,44120,17368,66672,630,47639,403744,19151,Yes
Spain,State_D,44121,15328,34832,661,1013,488028,1137,No
India,State_B,44122,56942,31966,3503,49378,444316,3420,
Brazil,State_D,44123,91751,72545,2852,23705,373013,5845,No
Italy,State_D,44124,99131,12987,2466,1828,402395,3906,Yes
India,State_D,44125,27306,37311,987,7909,311925,19337,Yes
Brazil,State_B,44126,85451,31575,1546,38356,187339,12413,
Spain,State_D,44127,39915,63852,649,13109,476595,276,Yes
Brazil,State_D,44128,37219,1007,968,2023,418168,18383,
Spain,State_D,44129,80879,70981,2637,54118,316942,17611,Yes
Italy,State_A,44130,64644,76242,1100,59796,99696,6337,Yes
Spain,State_D,44131,60279,47517,440,14537,51939,11944,
India,State_B,44132,53028,29257,769,26661,292660,15906,No
Italy,State_D,44133,126,42207,1343,38659,188598,17079,Yes
India,State_D,44134,52329,13281,4358,33848,142521,12306,No
UK,State_B,44135,27632,61246,3729,37804,51290,10503,Yes
USA,State_D,44136,65310,1435,3906,15379,389832,19225,Yes
Spain,State_B,44137,55176,26660,1577,59664,349805,4208,Yes
USA,State_D,44138,86066,5084,4008,27766,336098,11590,Yes
USA,State_B,44139,44327,13507,3351,43590,285890,10886,No
Spain,State_D,44140,68904,72595,4795,2563,68990,12866,No
Italy,State_D,44141,3797,45539,2349,36060,59810,1088,Yes
UK,State_A,44142,47882,7491,3602,29197,119362,3363,Yes
India,State_A,44143,13718,50192,1241,3586,477513,24,No
Brazil,State_D,44144,34560,63888,1125,16087,147295,9764,
India,State_D,44145,76589,73609,2601,48868,466453,9959,
Brazil,State_C,44146,22116,9077,1190,53583,134669,12935,No
India,State_B,44147,36244,20953,4131,23225,197749,8068,Yes
Spain,State_C,44148,1645,76919,4839,29750,265803,18619,Yes
UK,State_A,44149,47523,67889,4448,6643,87516,7295,
Brazil,State_A,44150,19256,23821,72,27523,75567,8392,
Italy,State_A,44151,53173,37567,1914,36727,278181,11390,No
India,State_A,44152,37430,24860,2472,11005,127498,8448,
India,State_D,44153,39282,21195,3046,43543,178810,10433,No
Brazil,State_A,44154,63374,77475,707,161,498181,15038,
Italy,State_D,44155,68244,21427,1804,16029,465894,19559,
Italy,State_D,44156,11694,27083,3713,49745,13109,11528,
Spain,State_A,44157,56264,57372,2564,14226,285154,15743,Yes
Spain,State_A,44158,75060,44064,2475,28731,271931,8605,Yes
Spain,State_B,44159,97416,7813,3610,43922,240472,2014,Yes
Spain,State_C,44160,57545,31598,4255,44848,140544,1381,
Spain,State_A,44161,39224,27082,2823,3390,247183,1098,No
Spain,State_B,44162,97945,29241,1735,5997,155455,19810,No
UK,State_B,44163,13224,44569,1585,55506,324853,9101,No
Italy,State_C,44164,40738,11745,66,12693,464001,187,No
Spain,State_D,44165,25150,26029,3061,49815,245325,11948,Yes
Italy,State_A,44166,63731,13025,2428,42092,35518,10207,Yes
Italy,State_C,44167,49688,14288,4153,541,54909,2092,
USA,State_A,44168,99929,6540,341,21817,281495,18514,
UK,State_B,44169,73509,68878,2774,37861,201696,5242,No
Spain,State_B,44170,8577,41846,2817,13428,447546,8549,Yes
India,State_D,44171,8070,75932,2661,43934,16282,5185,No
Brazil,State_B,44172,8666,17482,1232,50019,479082,15271,
India,State_B,44173,57761,23411,3874,48831,240017,5776,
UK,State_C,44174,36368,50975,2401,10258,415994,12449,No
Brazil,State_A,44175,6783,60545,1494,57775,418480,7823,
UK,State_A,44176,41914,78797,4211,16044,453891,15717,No
Italy,State_C,44177,70507,52307,661,29411,268219,7355,Yes
Brazil,State_D,44178,79026,3093,3883,5469,470164,6465,No
Italy,State_A,44179,67526,77258,3619,28854,180526,12737,Yes
India,State_B,44180,70835,22042,1868,6256,29365,17881,Yes
India,State_A,44181,45765,52930,2334,58550,466982,13324,
Brazil,State_B,44182,19956,44413,3374,10720,442416,10350,
Brazil,State_D,44183,87895,33756,1016,33937,274146,2555,
Spain,State_C,44184,46240,53268,4406,33598,277091,2951,No
UK,State_A,44185,37148,39214,207,1651,211294,17622,No
Spain,State_C,44186,94270,28602,2665,50288,357984,4727,
UK,State_A,44187,4757,53331,2493,19194,117219,5686,No
Spain,State_B,44188,19097,48901,632,25051,341754,3701,
Italy,State_C,44189,10395,63416,2102,27386,315286,2780,No
Brazil,State_A,44190,16241,32196,2959,9518,57307,17972,Yes
India,State_B,44191,27696,5626,3083,46026,136565,2368,Yes
UK,State_C,44192,70480,7424,4752,16184,256095,15592,
UK,State_C,44193,46163,12857,1931,33787,313229,436,No
India,State_A,44194,19816,19982,3719,21621,35228,2828,No
Spain,State_A,44195,49840,76961,2562,10028,211748,1556,Yes
UK,State_A,44196,52853,1980,1679,12448,446091,13364,Yes
Italy,State_B,44197,24917,48290,236,59792,425871,15061,
Brazil,State_A,44198,96731,26431,4443,45253,44472,10576,Yes
India,State_C,44199,21566,26385,4725,34051,312581,16566,
Brazil,State_C,44200,75452,38158,1540,49811,443632,7190,Yes
UK,State_A,44201,62823,23019,3943,30447,322855,5565,Yes
UK,State_A,44202,20806,18639,363,18394,138888,15369,No
India,State_D,44203,75520,21563,2368,57742,78175,1589,Yes
Italy,State_C,44204,1759,39341,285,34501,65307,159,Yes
USA,State_B,44205,41949,5776,148,30254,309877,12145,
India,State_D,44206,92374,36444,4037,18509,391346,15373,Yes
USA,State_A,44207,2482,68916,4551,51323,96028,6555,
Spain,State_A,44208,24442,8711,1766,57418,143312,16237,Yes
USA,State_C,44209,33719,74318,4895,48998,492450,9203,Yes
Italy,State_A,44210,58066,30707,1012,14472,93493,8244,
Spain,State_B,44211,93501,39110,2831,45657,126149,14743,No
USA,State_C,44212,2079,61788,2507,3471,230416,13333,
Spain,State_A,44213,2717,38827,1523,41796,203435,13341,
USA,State_C,44214,59676,5655,2785,54776,164834,18691,
Italy,State_A,44215,27952,44859,2556,57843,271403,1228,No
USA,State_A,44216,86444,53625,3725,30268,182211,5590,Yes
USA,State_A,44217,42460,52098,4576,8329,391919,5585,
USA,State_B,44218,90397,15251,1601,34865,277993,9227,
India,State_B,44219,72847,526,2408,46850,344912,6046,No
India,State_C,44220,93607,68760,340,54220,369252,12237,
India,State_A,44221,89106,47837,2817,46698,352853,15649,Yes
Italy,State_A,44222,18449,11536,2496,28272,318013,4945,No
Spain,State_B,44223,33536,28541,4930,42845,390032,7927,Yes
UK,State_A,44224,64077,79083,1725,6397,64095,12641,Yes
USA,State_B,44225,38258,51027,1689,32373,118886,15998,No
USA,State_A,44226,48302,34531,3267,35525,334054,13386,
Italy,State_C,44227,28865,8712,4406,53072,480926,7016,Yes
USA,State_A,44228,6645,65455,261,24570,286711,14027,Yes
India,State_A,44229,38000,74744,1442,18284,36292,15920,Yes
UK,State_D,44230,26737,5109,405,18994,75813,13752,Yes
Brazil,State_B,44231,11485,49268,2190,23284,98136,18268,No
USA,State_A,44232,38565,54615,4437,17833,52631,18193,No
India,State_A,44233,25522,29759,243,25122,10885,3167,Yes
Brazil,State_D,44234,65155,60112,4585,5017,453875,11989,
UK,State_D,44235,55168,26589,4107,16370,186378,14087,Yes
Brazil,State_B,44236,52487,30015,560,29252,329458,2437,
India,State_D,44237,12342,29009,4137,7999,328231,15275,Yes
Spain,State_C,44238,40806,62046,2725,22436,423381,5276,
Spain,State_D,44239,48770,26143,593,42963,453145,8859,Yes
Brazil,State_C,44240,78623,6154,1826,2096,461244,7818,
Italy,State_B,44241,99785,21804,3229,48201,359142,4728,Yes
Brazil,State_B,44242,75629,41688,3287,25279,50812,19008,Yes
USA,State_B,44243,52603,64288,4073,55556,182572,5738,
USA,State_B,44244,81974,51195,133,43363,473367,5793,No
Spain,State_B,44245,26399,20581,3138,48709,321787,4523,
Italy,State_C,44246,85382,52648,3919,26201,45900,5571,No
India,State_C,44247,81244,30087,72,19715,437162,16209,Yes
USA,State_B,44248,76534,49930,4494,29309,402067,15246,
Spain,State_D,44249,55106,32981,4225,15078,279432,10380,
UK,State_A,44250,30678,69298,2978,56614,73692,2224,
Spain,State_B,44251,76218,46167,4361,5105,461796,8389,No
USA,State_D,44252,63230,75304,1985,52130,401584,15927,No
USA,State_A,44253,74055,43408,792,29312,348580,11684,Yes
Spain,State_B,44254,56373,39499,4259,2839,228208,10640,No
India,State_B,44255,31480,52269,94,3384,47403,8662,No
Brazil,State_C,44256,85230,38559,1133,43619,92170,6361,Yes
USA,State_A,44257,68836,74319,4917,42821,272312,1948,
Spain,State_A,44258,72258,48787,237,13493,480713,12091,
Spain,State_D,44259,39986,35488,2946,17069,313023,11992,Yes
Italy,State_C,44260,24160,74441,2530,46907,60871,6318,
Brazil,State_C,44261,85595,74663,1960,7531,483604,12180,No
UK,State_C,44262,79111,22431,1048,37051,492862,234,Yes
India,State_C,44263,64929,61681,2529,7736,33174,15372,Yes
UK,State_A,44264,73506,63483,2964,7710,231823,19991,Yes
Brazil,State_A,44265,34911,49153,963,1619,224563,522,
Brazil,State_B,44266,87127,6368,536,13975,138653,12718,Yes
Brazil,State_B,44267,31821,27424,4223,45603,111155,9821,Yes
UK,State_C,44268,75039,45004,3679,23252,334997,5832,Yes
Brazil,State_C,44269,60535,56985,4187,15261,327190,12820,
Spain,State_C,44270,84458,50069,3724,1431,312822,16211,No
UK,State_B,44271,12175,52326,542,9067,289793,7122,Yes
Brazil,State_D,44272,54771,23398,845,37481,128795,5842,No
Spain,State_D,44273,86925,50861,3603,27037,89668,1316,
Italy,State_B,44274,66358,75897,3036,9557,214397,13200,
Brazil,State_B,44275,17327,68577,2494,9435,146639,17508,
UK,State_B,44276,47057,65641,4485,37766,474620,15206,
USA,State_B,44277,6150,9078,2719,162,353050,18971,No
Brazil,State_B,44278,4425,25003,1884,34742,240141,1378,Yes
USA,State_B,44279,16032,62768,4138,19675,97019,19758,
Spain,State_C,44280,2198,51047,4349,8461,456160,1519,
Italy,State_C,44281,60500,71626,3201,17015,341146,7935,No
India,State_C,44282,53394,57660,2710,50057,29803,6093,No
